day,crimedate,NUMCRIMES
1,2001-03-26,1215
2,2001-03-27,1409
3,2001-03-28,1321
4,2001-03-29,1337
5,2001-03-30,1350
6,2001-03-31,1305
7,2001-04-01,1359
1,2001-04-02,1322
2,2001-04-03,1353
3,2001-04-04,1345
4,2001-04-05,1274
5,2001-04-06,1381
6,2001-04-07,1352
7,2001-04-08,1319
1,2001-04-09,1338
2,2001-04-10,1341
3,2001-04-11,1311
4,2001-04-12,1457
5,2001-04-13,1336
6,2001-04-14,1347
7,2001-04-15,1226
1,2001-04-16,1177
2,2001-04-17,1194
3,2001-04-18,1338
4,2001-04-19,1323
5,2001-04-20,1475
6,2001-04-21,1370
7,2001-04-22,1353
1,2001-04-23,1308
2,2001-04-24,1294
3,2001-04-25,1299
4,2001-04-26,1358
5,2001-04-27,1504
6,2001-04-28,1302
7,2001-04-29,1295
1,2001-04-30,1433
2,2001-05-01,1545
3,2001-05-02,1462
4,2001-05-03,1441
5,2001-05-04,1533
6,2001-05-05,1347
7,2001-05-06,1222
1,2001-05-07,1391
2,2001-05-08,1412
3,2001-05-09,1469
4,2001-05-10,1336
5,2001-05-11,1358
6,2001-05-12,1245
7,2001-05-13,1209
1,2001-05-14,1300
2,2001-05-15,1420
3,2001-05-16,1381
4,2001-05-17,1407
5,2001-05-18,1439
6,2001-05-19,1335
7,2001-05-20,1282
1,2001-05-21,1437
2,2001-05-22,1277
3,2001-05-23,1233
4,2001-05-24,1312
5,2001-05-25,1350
6,2001-05-26,1161
7,2001-05-27,1152
1,2001-05-28,1325
2,2001-05-29,1408
3,2001-05-30,1343
4,2001-05-31,1297
5,2001-06-01,1664
6,2001-06-02,1398
7,2001-06-03,1184
1,2001-06-04,1371
2,2001-06-05,1281
3,2001-06-06,1344
4,2001-06-07,1326
5,2001-06-08,1370
6,2001-06-09,1386
7,2001-06-10,1413
1,2001-06-11,1476
2,2001-06-12,1380
3,2001-06-13,1429
4,2001-06-14,1392
5,2001-06-15,1421
6,2001-06-16,1376
7,2001-06-17,1435
1,2001-06-18,1494
2,2001-06-19,1535
3,2001-06-20,1405
4,2001-06-21,1321
5,2001-06-22,1374
6,2001-06-23,1326
7,2001-06-24,1286
1,2001-06-25,1381
2,2001-06-26,1363
3,2001-06-27,1364
4,2001-06-28,1380
5,2001-06-29,1450
6,2001-06-30,1403
7,2001-07-01,1601
1,2001-07-02,1372
2,2001-07-03,1316
3,2001-07-04,1420
4,2001-07-05,1375
5,2001-07-06,1455
6,2001-07-07,1447
7,2001-07-08,1385
1,2001-07-09,1431
2,2001-07-10,1492
3,2001-07-11,1397
4,2001-07-12,1419
5,2001-07-13,1511
6,2001-07-14,1442
7,2001-07-15,1391
1,2001-07-16,1511
2,2001-07-17,1425
3,2001-07-18,1406
4,2001-07-19,1403
5,2001-07-20,1555
6,2001-07-21,1502
7,2001-07-22,1429
1,2001-07-23,1468
2,2001-07-24,1418
3,2001-07-25,1464
4,2001-07-26,1434
5,2001-07-27,1465
6,2001-07-28,1458
7,2001-07-29,1423
1,2001-07-30,1463
2,2001-07-31,1416
3,2001-08-01,1586
4,2001-08-02,1310
5,2001-08-03,1417
6,2001-08-04,1516
7,2001-08-05,1472
1,2001-08-06,1503
2,2001-08-07,1441
3,2001-08-08,1433
4,2001-08-09,1343
5,2001-08-10,1563
6,2001-08-11,1390
7,2001-08-12,1406
1,2001-08-13,1412
2,2001-08-14,1409
3,2001-08-15,1520
4,2001-08-16,1433
5,2001-08-17,1335
6,2001-08-18,1324
7,2001-08-19,1244
1,2001-08-20,1467
2,2001-08-21,1349
3,2001-08-22,1382
4,2001-08-23,1308
5,2001-08-24,1418
6,2001-08-25,1385
7,2001-08-26,1420
1,2001-08-27,1483
2,2001-08-28,1410
3,2001-08-29,1454
4,2001-08-30,1427
5,2001-08-31,1473
6,2001-09-01,1582
7,2001-09-02,1325
1,2001-09-03,1367
2,2001-09-04,1401
3,2001-09-05,1308
4,2001-09-06,1423
5,2001-09-07,1570
6,2001-09-08,1574
7,2001-09-09,1321
1,2001-09-10,1383
2,2001-09-11,1374
3,2001-09-12,1343
4,2001-09-13,1274
5,2001-09-14,1403
6,2001-09-15,1501
7,2001-09-16,1340
1,2001-09-17,1247
2,2001-09-18,1286
3,2001-09-19,1289
4,2001-09-20,1367
5,2001-09-21,1500
6,2001-09-22,1435
7,2001-09-23,1266
1,2001-09-24,1283
2,2001-09-25,1310
3,2001-09-26,1393
4,2001-09-27,1450
5,2001-09-28,1462
6,2001-09-29,1383
7,2001-09-30,1346
1,2001-10-01,1706
2,2001-10-02,1411
3,2001-10-03,1495
4,2001-10-04,1336
5,2001-10-05,1424
6,2001-10-06,1366
7,2001-10-07,1243
1,2001-10-08,1381
2,2001-10-09,1462
3,2001-10-10,1380
4,2001-10-11,1397
5,2001-10-12,1477
6,2001-10-13,1257
7,2001-10-14,1196
1,2001-10-15,1366
2,2001-10-16,1312
3,2001-10-17,1376
4,2001-10-18,1404
5,2001-10-19,1492
6,2001-10-20,1515
7,2001-10-21,1364
1,2001-10-22,1310
2,2001-10-23,1394
3,2001-10-24,1271
4,2001-10-25,1279
5,2001-10-26,1409
6,2001-10-27,1372
7,2001-10-28,1320
1,2001-10-29,1343
2,2001-10-30,1394
3,2001-10-31,1577
4,2001-11-01,1736
5,2001-11-02,1460
6,2001-11-03,1354
7,2001-11-04,1259
1,2001-11-05,1315
2,2001-11-06,1338
3,2001-11-07,1367
4,2001-11-08,1305
5,2001-11-09,1278
6,2001-11-10,1348
7,2001-11-11,1274
1,2001-11-12,1247
2,2001-11-13,1340
3,2001-11-14,1311
4,2001-11-15,1354
5,2001-11-16,1419
6,2001-11-17,1344
7,2001-11-18,1276
1,2001-11-19,1274
2,2001-11-20,1302
3,2001-11-21,1307
4,2001-11-22,1012
5,2001-11-23,1285
6,2001-11-24,1396
7,2001-11-25,1152
1,2001-11-26,1313
2,2001-11-27,1269
3,2001-11-28,1334
4,2001-11-29,1262
5,2001-11-30,1368
6,2001-12-01,1435
7,2001-12-02,1174
1,2001-12-03,1280
2,2001-12-04,1378
3,2001-12-05,1335
4,2001-12-06,1313
5,2001-12-07,1476
6,2001-12-08,1258
7,2001-12-09,1096
1,2001-12-10,1277
2,2001-12-11,1272
3,2001-12-12,1306
4,2001-12-13,1335
5,2001-12-14,1370
6,2001-12-15,1290
7,2001-12-16,1114
1,2001-12-17,1253
2,2001-12-18,1251
3,2001-12-19,1234
4,2001-12-20,1174
5,2001-12-21,1243
6,2001-12-22,1187
7,2001-12-23,1098
1,2001-12-24,909
2,2001-12-25,691
3,2001-12-26,892
4,2001-12-27,1061
5,2001-12-28,1084
6,2001-12-29,1068
7,2001-12-30,949
1,2001-12-31,1044
2,2002-01-01,1860
3,2002-01-02,1188
4,2002-01-03,1118
5,2002-01-04,1151
6,2002-01-05,1104
7,2002-01-06,1038
1,2002-01-07,1172
2,2002-01-08,1244
3,2002-01-09,1317
4,2002-01-10,1376
5,2002-01-11,1337
6,2002-01-12,1341
7,2002-01-13,1197
1,2002-01-14,1193
2,2002-01-15,1355
3,2002-01-16,1263
4,2002-01-17,1115
5,2002-01-18,1236
6,2002-01-19,1182
7,2002-01-20,1123
1,2002-01-21,1083
2,2002-01-22,1267
3,2002-01-23,1253
4,2002-01-24,1305
5,2002-01-25,1402
6,2002-01-26,1385
7,2002-01-27,1274
1,2002-01-28,1276
2,2002-01-29,1200
3,2002-01-30,1064
4,2002-01-31,988
5,2002-02-01,1378
6,2002-02-02,1219
7,2002-02-03,1041
1,2002-02-04,1067
2,2002-02-05,1153
3,2002-02-06,1201
4,2002-02-07,1227
5,2002-02-08,1300
6,2002-02-09,1261
7,2002-02-10,1102
1,2002-02-11,1231
2,2002-02-12,1339
3,2002-02-13,1157
4,2002-02-14,1212
5,2002-02-15,1394
6,2002-02-16,1237
7,2002-02-17,1040
1,2002-02-18,1222
2,2002-02-19,1171
3,2002-02-20,1247
4,2002-02-21,1253
5,2002-02-22,1275
6,2002-02-23,1261
7,2002-02-24,1219
1,2002-02-25,1214
2,2002-02-26,1098
3,2002-02-27,1192
4,2002-02-28,1198
5,2002-03-01,1539
6,2002-03-02,1092
7,2002-03-03,915
1,2002-03-04,968
2,2002-03-05,1108
3,2002-03-06,1233
4,2002-03-07,1227
5,2002-03-08,1467
6,2002-03-09,1224
7,2002-03-10,1075
1,2002-03-11,1296
2,2002-03-12,1278
3,2002-03-13,1413
4,2002-03-14,1436
5,2002-03-15,1494
6,2002-03-16,1256
7,2002-03-17,1136
1,2002-03-18,1262
2,2002-03-19,1233
3,2002-03-20,1290
4,2002-03-21,1163
5,2002-03-22,1218
6,2002-03-23,1214
7,2002-03-24,1227
1,2002-03-25,1122
2,2002-03-26,1216
3,2002-03-27,1342
4,2002-03-28,1424
5,2002-03-29,1247
6,2002-03-30,1334
7,2002-03-31,1136
1,2002-04-01,1529
2,2002-04-02,1269
3,2002-04-03,1304
4,2002-04-04,1340
5,2002-04-05,1534
6,2002-04-06,1360
7,2002-04-07,1103
1,2002-04-08,1203
2,2002-04-09,1348
3,2002-04-10,1477
4,2002-04-11,1438
5,2002-04-12,1377
6,2002-04-13,1331
7,2002-04-14,1297
1,2002-04-15,1494
2,2002-04-16,1328
3,2002-04-17,1347
4,2002-04-18,1356
5,2002-04-19,1364
6,2002-04-20,1323
7,2002-04-21,1108
1,2002-04-22,1198
2,2002-04-23,1321
3,2002-04-24,1297
4,2002-04-25,1326
5,2002-04-26,1401
6,2002-04-27,1281
7,2002-04-28,1152
1,2002-04-29,1479
2,2002-04-30,1351
3,2002-05-01,1497
4,2002-05-02,1269
5,2002-05-03,1316
6,2002-05-04,1315
7,2002-05-05,1281
1,2002-05-06,1273
2,2002-05-07,1308
3,2002-05-08,1396
4,2002-05-09,1396
5,2002-05-10,1523
6,2002-05-11,1267
7,2002-05-12,1174
1,2002-05-13,1405
2,2002-05-14,1448
3,2002-05-15,1540
4,2002-05-16,1273
5,2002-05-17,1425
6,2002-05-18,1374
7,2002-05-19,1260
1,2002-05-20,1384
2,2002-05-21,1383
3,2002-05-22,1332
4,2002-05-23,1552
5,2002-05-24,1466
6,2002-05-25,1382
7,2002-05-26,1306
1,2002-05-27,1302
2,2002-05-28,1513
3,2002-05-29,1460
4,2002-05-30,1521
5,2002-05-31,1572
6,2002-06-01,1782
7,2002-06-02,1439
1,2002-06-03,1352
2,2002-06-04,1320
3,2002-06-05,1348
4,2002-06-06,1482
5,2002-06-07,1446
6,2002-06-08,1348
7,2002-06-09,1339
1,2002-06-10,1402
2,2002-06-11,1474
3,2002-06-12,1526
4,2002-06-13,1367
5,2002-06-14,1380
6,2002-06-15,1482
7,2002-06-16,1400
1,2002-06-17,1411
2,2002-06-18,1439
3,2002-06-19,1357
4,2002-06-20,1397
5,2002-06-21,1468
6,2002-06-22,1356
7,2002-06-23,1436
1,2002-06-24,1390
2,2002-06-25,1465
3,2002-06-26,1452
4,2002-06-27,1437
5,2002-06-28,1393
6,2002-06-29,1470
7,2002-06-30,1477
1,2002-07-01,1635
2,2002-07-02,1411
3,2002-07-03,1320
4,2002-07-04,1466
5,2002-07-05,1532
6,2002-07-06,1467
7,2002-07-07,1452
1,2002-07-08,1493
2,2002-07-09,1440
3,2002-07-10,1559
4,2002-07-11,1401
5,2002-07-12,1551
6,2002-07-13,1477
7,2002-07-14,1407
1,2002-07-15,1619
2,2002-07-16,1535
3,2002-07-17,1404
4,2002-07-18,1480
5,2002-07-19,1558
6,2002-07-20,1593
7,2002-07-21,1424
1,2002-07-22,1454
2,2002-07-23,1460
3,2002-07-24,1477
4,2002-07-25,1413
5,2002-07-26,1472
6,2002-07-27,1491
7,2002-07-28,1443
1,2002-07-29,1575
2,2002-07-30,1543
3,2002-07-31,1460
4,2002-08-01,1688
5,2002-08-02,1454
6,2002-08-03,1462
7,2002-08-04,1408
1,2002-08-05,1425
2,2002-08-06,1468
3,2002-08-07,1396
4,2002-08-08,1390
5,2002-08-09,1478
6,2002-08-10,1462
7,2002-08-11,1504
1,2002-08-12,1466
2,2002-08-13,1424
3,2002-08-14,1382
4,2002-08-15,1415
5,2002-08-16,1432
6,2002-08-17,1495
7,2002-08-18,1378
1,2002-08-19,1316
2,2002-08-20,1386
3,2002-08-21,1353
4,2002-08-22,1356
5,2002-08-23,1467
6,2002-08-24,1454
7,2002-08-25,1325
1,2002-08-26,1450
2,2002-08-27,1429
3,2002-08-28,1449
4,2002-08-29,1283
5,2002-08-30,1445
6,2002-08-31,1371
7,2002-09-01,1551
1,2002-09-02,1364
2,2002-09-03,1439
3,2002-09-04,1389
4,2002-09-05,1408
5,2002-09-06,1559
6,2002-09-07,1446
7,2002-09-08,1369
1,2002-09-09,1352
2,2002-09-10,1321
3,2002-09-11,1394
4,2002-09-12,1313
5,2002-09-13,1477
6,2002-09-14,1450
7,2002-09-15,1412
1,2002-09-16,1385
2,2002-09-17,1475
3,2002-09-18,1386
4,2002-09-19,1435
5,2002-09-20,1596
6,2002-09-21,1398
7,2002-09-22,1376
1,2002-09-23,1292
2,2002-09-24,1333
3,2002-09-25,1391
4,2002-09-26,1413
5,2002-09-27,1459
6,2002-09-28,1402
7,2002-09-29,1413
1,2002-09-30,1391
2,2002-10-01,1763
3,2002-10-02,1469
4,2002-10-03,1437
5,2002-10-04,1536
6,2002-10-05,1410
7,2002-10-06,1387
1,2002-10-07,1282
2,2002-10-08,1381
3,2002-10-09,1455
4,2002-10-10,1366
5,2002-10-11,1561
6,2002-10-12,1406
7,2002-10-13,1147
1,2002-10-14,1341
2,2002-10-15,1464
3,2002-10-16,1321
4,2002-10-17,1326
5,2002-10-18,1444
6,2002-10-19,1365
7,2002-10-20,1340
1,2002-10-21,1350
2,2002-10-22,1261
3,2002-10-23,1357
4,2002-10-24,1368
5,2002-10-25,1390
6,2002-10-26,1399
7,2002-10-27,1276
1,2002-10-28,1332
2,2002-10-29,1396
3,2002-10-30,1351
4,2002-10-31,1463
5,2002-11-01,1551
6,2002-11-02,1321
7,2002-11-03,1145
1,2002-11-04,1257
2,2002-11-05,1171
3,2002-11-06,1235
4,2002-11-07,1291
5,2002-11-08,1284
6,2002-11-09,1442
7,2002-11-10,1263
1,2002-11-11,1286
2,2002-11-12,1268
3,2002-11-13,1372
4,2002-11-14,1177
5,2002-11-15,1352
6,2002-11-16,1319
7,2002-11-17,1139
1,2002-11-18,1274
2,2002-11-19,1292
3,2002-11-20,1309
4,2002-11-21,1154
5,2002-11-22,1341
6,2002-11-23,1213
7,2002-11-24,1090
1,2002-11-25,1196
2,2002-11-26,1142
3,2002-11-27,1219
4,2002-11-28,843
5,2002-11-29,1108
6,2002-11-30,1098
7,2002-12-01,1270
1,2002-12-02,1172
2,2002-12-03,1117
3,2002-12-04,1168
4,2002-12-05,1156
5,2002-12-06,1282
6,2002-12-07,1207
7,2002-12-08,1065
1,2002-12-09,1257
2,2002-12-10,1305
3,2002-12-11,1278
4,2002-12-12,1345
5,2002-12-13,1458
6,2002-12-14,1253
7,2002-12-15,1245
1,2002-12-16,1245
2,2002-12-17,1282
3,2002-12-18,1184
4,2002-12-19,1320
5,2002-12-20,1364
6,2002-12-21,1282
7,2002-12-22,1149
1,2002-12-23,1148
2,2002-12-24,1058
3,2002-12-25,803
4,2002-12-26,950
5,2002-12-27,1076
6,2002-12-28,1164
7,2002-12-29,1094
1,2002-12-30,1281
2,2002-12-31,1195
3,2003-01-01,2027
4,2003-01-02,1171
5,2003-01-03,1298
6,2003-01-04,1197
7,2003-01-05,1149
1,2003-01-06,1261
2,2003-01-07,1203
3,2003-01-08,1318
4,2003-01-09,1317
5,2003-01-10,1232
6,2003-01-11,1103
7,2003-01-12,1055
1,2003-01-13,1180
2,2003-01-14,1153
3,2003-01-15,1214
4,2003-01-16,1212
5,2003-01-17,1260
6,2003-01-18,1100
7,2003-01-19,979
1,2003-01-20,1118
2,2003-01-21,1124
3,2003-01-22,1125
4,2003-01-23,1028
5,2003-01-24,1171
6,2003-01-25,1120
7,2003-01-26,877
1,2003-01-27,1104
2,2003-01-28,1122
3,2003-01-29,1115
4,2003-01-30,1195
5,2003-01-31,1187
6,2003-02-01,1411
7,2003-02-02,1154
1,2003-02-03,1199
2,2003-02-04,1109
3,2003-02-05,1136
4,2003-02-06,1206
5,2003-02-07,1160
6,2003-02-08,1027
7,2003-02-09,1021
1,2003-02-10,1220
2,2003-02-11,1084
3,2003-02-12,992
4,2003-02-13,1177
5,2003-02-14,1256
6,2003-02-15,1072
7,2003-02-16,1083
1,2003-02-17,1070
2,2003-02-18,1210
3,2003-02-19,1236
4,2003-02-20,1249
5,2003-02-21,1335
6,2003-02-22,1121
7,2003-02-23,1091
1,2003-02-24,1131
2,2003-02-25,1053
3,2003-02-26,1223
4,2003-02-27,1205
5,2003-02-28,1278
6,2003-03-01,1461
7,2003-03-02,1058
1,2003-03-03,1238
2,2003-03-04,1145
3,2003-03-05,1004
4,2003-03-06,1119
5,2003-03-07,1351
6,2003-03-08,1150
7,2003-03-09,965
1,2003-03-10,1201
2,2003-03-11,1319
3,2003-03-12,1335
4,2003-03-13,1312
5,2003-03-14,1455
6,2003-03-15,1341
7,2003-03-16,1255
1,2003-03-17,1324
2,2003-03-18,1252
3,2003-03-19,1283
4,2003-03-20,1195
5,2003-03-21,1261
6,2003-03-22,1210
7,2003-03-23,1285
1,2003-03-24,1201
2,2003-03-25,1362
3,2003-03-26,1330
4,2003-03-27,1405
5,2003-03-28,1171
6,2003-03-29,1177
7,2003-03-30,1181
1,2003-03-31,1306
2,2003-04-01,1611
3,2003-04-02,1356
4,2003-04-03,1290
5,2003-04-04,1249
6,2003-04-05,1113
7,2003-04-06,1146
1,2003-04-07,1162
2,2003-04-08,1273
3,2003-04-09,1368
4,2003-04-10,1454
5,2003-04-11,1336
6,2003-04-12,1384
7,2003-04-13,1274
1,2003-04-14,1350
2,2003-04-15,1441
3,2003-04-16,1367
4,2003-04-17,1203
5,2003-04-18,1343
6,2003-04-19,1363
7,2003-04-20,1237
1,2003-04-21,1273
2,2003-04-22,1314
3,2003-04-23,1376
4,2003-04-24,1349
5,2003-04-25,1435
6,2003-04-26,1329
7,2003-04-27,1280
1,2003-04-28,1446
2,2003-04-29,1363
3,2003-04-30,1305
4,2003-05-01,1352
5,2003-05-02,1361
6,2003-05-03,1180
7,2003-05-04,1108
1,2003-05-05,1416
2,2003-05-06,1388
3,2003-05-07,1432
4,2003-05-08,1292
5,2003-05-09,1389
6,2003-05-10,1341
7,2003-05-11,1112
1,2003-05-12,1352
2,2003-05-13,1350
3,2003-05-14,1291
4,2003-05-15,1435
5,2003-05-16,1508
6,2003-05-17,1345
7,2003-05-18,1217
1,2003-05-19,1389
2,2003-05-20,1392
3,2003-05-21,1337
4,2003-05-22,1340
5,2003-05-23,1386
6,2003-05-24,1346
7,2003-05-25,1284
1,2003-05-26,1172
2,2003-05-27,1393
3,2003-05-28,1279
4,2003-05-29,1303
5,2003-05-30,1423
6,2003-05-31,1282
7,2003-06-01,1490
1,2003-06-02,1384
2,2003-06-03,1374
3,2003-06-04,1343
4,2003-06-05,1267
5,2003-06-06,1414
6,2003-06-07,1385
7,2003-06-08,1297
1,2003-06-09,1368
2,2003-06-10,1499
3,2003-06-11,1300
4,2003-06-12,1357
5,2003-06-13,1364
6,2003-06-14,1347
7,2003-06-15,1335
1,2003-06-16,1333
2,2003-06-17,1348
3,2003-06-18,1399
4,2003-06-19,1333
5,2003-06-20,1451
6,2003-06-21,1289
7,2003-06-22,1259
1,2003-06-23,1364
2,2003-06-24,1355
3,2003-06-25,1368
4,2003-06-26,1328
5,2003-06-27,1362
6,2003-06-28,1396
7,2003-06-29,1370
1,2003-06-30,1337
2,2003-07-01,1567
3,2003-07-02,1336
4,2003-07-03,1331
5,2003-07-04,1301
6,2003-07-05,1372
7,2003-07-06,1277
1,2003-07-07,1410
2,2003-07-08,1290
3,2003-07-09,1309
4,2003-07-10,1342
5,2003-07-11,1482
6,2003-07-12,1419
7,2003-07-13,1427
1,2003-07-14,1440
2,2003-07-15,1470
3,2003-07-16,1426
4,2003-07-17,1361
5,2003-07-18,1429
6,2003-07-19,1557
7,2003-07-20,1370
1,2003-07-21,1386
2,2003-07-22,1344
3,2003-07-23,1379
4,2003-07-24,1378
5,2003-07-25,1437
6,2003-07-26,1480
7,2003-07-27,1339
1,2003-07-28,1480
2,2003-07-29,1442
3,2003-07-30,1430
4,2003-07-31,1405
5,2003-08-01,1613
6,2003-08-02,1365
7,2003-08-03,1307
1,2003-08-04,1363
2,2003-08-05,1520
3,2003-08-06,1463
4,2003-08-07,1427
5,2003-08-08,1499
6,2003-08-09,1294
7,2003-08-10,1408
1,2003-08-11,1359
2,2003-08-12,1387
3,2003-08-13,1475
4,2003-08-14,1445
5,2003-08-15,1507
6,2003-08-16,1492
7,2003-08-17,1361
1,2003-08-18,1417
2,2003-08-19,1437
3,2003-08-20,1475
4,2003-08-21,1683
5,2003-08-22,1398
6,2003-08-23,1389
7,2003-08-24,1368
1,2003-08-25,1477
2,2003-08-26,1391
3,2003-08-27,1425
4,2003-08-28,1334
5,2003-08-29,1600
6,2003-08-30,1400
7,2003-08-31,1190
1,2003-09-01,1333
2,2003-09-02,1406
3,2003-09-03,1336
4,2003-09-04,1346
5,2003-09-05,1373
6,2003-09-06,1589
7,2003-09-07,1440
1,2003-09-08,1326
2,2003-09-09,1457
3,2003-09-10,1424
4,2003-09-11,1457
5,2003-09-12,1530
6,2003-09-13,1465
7,2003-09-14,1351
1,2003-09-15,1460
2,2003-09-16,1405
3,2003-09-17,1327
4,2003-09-18,1386
5,2003-09-19,1453
6,2003-09-20,1348
7,2003-09-21,1374
1,2003-09-22,1292
2,2003-09-23,1622
3,2003-09-24,1396
4,2003-09-25,1327
5,2003-09-26,1257
6,2003-09-27,1188
7,2003-09-28,1287
1,2003-09-29,1247
2,2003-09-30,1223
3,2003-10-01,1548
4,2003-10-02,1369
5,2003-10-03,1346
6,2003-10-04,1436
7,2003-10-05,1224
1,2003-10-06,1419
2,2003-10-07,1380
3,2003-10-08,1531
4,2003-10-09,1518
5,2003-10-10,1435
6,2003-10-11,1390
7,2003-10-12,1262
1,2003-10-13,1330
2,2003-10-14,1268
3,2003-10-15,1323
4,2003-10-16,1701
5,2003-10-17,1751
6,2003-10-18,1323
7,2003-10-19,1247
1,2003-10-20,1441
2,2003-10-21,1388
3,2003-10-22,1374
4,2003-10-23,1368
5,2003-10-24,1465
6,2003-10-25,1378
7,2003-10-26,1266
1,2003-10-27,1301
2,2003-10-28,1333
3,2003-10-29,1352
4,2003-10-30,1338
5,2003-10-31,1524
6,2003-11-01,1655
7,2003-11-02,1145
1,2003-11-03,1346
2,2003-11-04,1365
3,2003-11-05,1343
4,2003-11-06,1308
5,2003-11-07,1262
6,2003-11-08,1219
7,2003-11-09,1076
1,2003-11-10,1289
2,2003-11-11,1371
3,2003-11-12,1275
4,2003-11-13,1192
5,2003-11-14,1370
6,2003-11-15,1279
7,2003-11-16,1084
1,2003-11-17,1226
2,2003-11-18,1201
3,2003-11-19,1357
4,2003-11-20,1470
5,2003-11-21,1409
6,2003-11-22,1343
7,2003-11-23,1146
1,2003-11-24,1188
2,2003-11-25,1173
3,2003-11-26,1286
4,2003-11-27,1009
5,2003-11-28,1102
6,2003-11-29,1172
7,2003-11-30,1395
1,2003-12-01,1417
2,2003-12-02,1210
3,2003-12-03,1304
4,2003-12-04,1119
5,2003-12-05,1368
6,2003-12-06,1244
7,2003-12-07,1186
1,2003-12-08,1185
2,2003-12-09,1207
3,2003-12-10,1223
4,2003-12-11,1083
5,2003-12-12,1155
6,2003-12-13,1123
7,2003-12-14,1076
1,2003-12-15,1226
2,2003-12-16,1143
3,2003-12-17,1083
4,2003-12-18,1129
5,2003-12-19,1199
6,2003-12-20,1206
7,2003-12-21,1117
1,2003-12-22,1150
2,2003-12-23,1134
3,2003-12-24,963
4,2003-12-25,729
5,2003-12-26,1025
6,2003-12-27,1179
7,2003-12-28,1169
1,2003-12-29,1175
2,2003-12-30,1160
3,2003-12-31,1104
4,2004-01-01,1893
5,2004-01-02,1317
6,2004-01-03,1183
7,2004-01-04,879
1,2004-01-05,941
2,2004-01-06,921
3,2004-01-07,1023
4,2004-01-08,1142
5,2004-01-09,1229
6,2004-01-10,1182
7,2004-01-11,1029
1,2004-01-12,1193
2,2004-01-13,1154
3,2004-01-14,1213
4,2004-01-15,1265
5,2004-01-16,1258
6,2004-01-17,1223
7,2004-01-18,1006
1,2004-01-19,1057
2,2004-01-20,1199
3,2004-01-21,1146
4,2004-01-22,1077
5,2004-01-23,1245
6,2004-01-24,1135
7,2004-01-25,1022
1,2004-01-26,1055
2,2004-01-27,1055
3,2004-01-28,1121
4,2004-01-29,980
5,2004-01-30,939
6,2004-01-31,1025
7,2004-02-01,1185
1,2004-02-02,1159
2,2004-02-03,1027
3,2004-02-04,1144
4,2004-02-05,1157
5,2004-02-06,1266
6,2004-02-07,1122
7,2004-02-08,981
1,2004-02-09,1157
2,2004-02-10,1139
3,2004-02-11,1199
4,2004-02-12,1048
5,2004-02-13,1223
6,2004-02-14,1154
7,2004-02-15,1059
1,2004-02-16,988
2,2004-02-17,1187
3,2004-02-18,1224
4,2004-02-19,1314
5,2004-02-20,1291
6,2004-02-21,1124
7,2004-02-22,1157
1,2004-02-23,1228
2,2004-02-24,1252
3,2004-02-25,1243
4,2004-02-26,1263
5,2004-02-27,1265
6,2004-02-28,1245
7,2004-02-29,1265
1,2004-03-01,1433
2,2004-03-02,1329
3,2004-03-03,1287
4,2004-03-04,1196
5,2004-03-05,1370
6,2004-03-06,1295
7,2004-03-07,1155
1,2004-03-08,1231
2,2004-03-09,1266
3,2004-03-10,1337
