date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,day,crimedate,NUMCRIMES
2015-02-12,2015,02,12,18.3,4.6,1027.4,9.4,13.8,20.0,28.0,37.9,10.9,0.0,3.1,0,4,2015-02-12,610
2015-02-13,2015,02,13,14.5,3.9,1027.7,10.0,8.4,14.0,999.9,25.0,7.0,0.0,3.1,0,5,2015-02-13,632
2015-02-14,2015,02,14,21.1,8.7,1017.6,9.2,15.9,28.0,41.0,28.9,7.0,0.0,3.1,0,6,2015-02-14,597
2015-02-15,2015,02,15,7.3,-4.4,1035.1,7.6,9.4,15.9,20.0,28.9,0.0,0.0,3.1,0,7,2015-02-15,552
2015-02-16,2015,02,16,12.8,-4.8,1026.6,10.0,4.2,8.9,999.9,19.0,0.0,0.0,3.1,0,1,2015-02-16,537
2015-02-17,2015,02,17,18.2,7.3,1016.3,8.7,9.1,15.9,999.9,21.9,8.1,0.0,3.1,0,2,2015-02-17,597
2015-02-18,2015,02,18,9.6,-2.8,1015.8,9.9,12.8,18.1,24.1,21.9,5.0,0.0,3.1,0,3,2015-02-18,511
2015-02-19,2015,02,19,1.3,-14.1,1029.4,9.7,11.9,17.1,22.9,10.9,-5.1,0.0,3.1,0,4,2015-02-19,463
2015-02-20,2015,02,20,7.0,-5.0,1027.6,9.3,8.8,17.1,25.1,19.9,-5.1,0.0,3.1,0,5,2015-02-20,651
2015-02-21,2015,02,21,23.4,13.5,1016.0,9.3,6.3,15.9,21.0,32.0,19.0,0.0,3.1,0,6,2015-02-21,652
2015-02-22,2015,02,22,24.3,11.9,1029.0,9.0,8.7,14.0,20.0,33.1,15.1,0.0,3.1,0,7,2015-02-22,592
2015-02-23,2015,02,23,7.7,-9.3,1039.9,10.0,9.8,15.0,21.0,30.0,0.0,0.0,3.1,0,1,2015-02-23,572
2015-02-24,2015,02,24,13.9,2.1,1019.5,10.0,12.6,20.0,27.0,30.9,0.0,0.0,3.1,0,2,2015-02-24,628
2015-02-25,2015,02,25,24.1,9.9,1014.2,8.9,7.9,14.0,18.1,32.0,6.1,0.0,3.1,0,3,2015-02-25,571
2015-02-26,2015,02,26,20.2,12.3,1023.0,3.1,11.5,17.1,22.9,28.0,16.0,0.06,7.1,1,4,2015-02-26,517
2015-02-27,2015,02,27,10.0,-3.5,1035.7,10.0,6.7,9.9,999.9,21.9,0.0,0.0,5.9,0,5,2015-02-27,638
2015-02-28,2015,02,28,11.0,-1.6,1040.8,10.0,4.6,8.9,999.9,23.0,0.0,0.0,5.9,0,6,2015-02-28,545
2015-03-01,2015,03,01,22.0,15.9,1031.2,7.3,5.1,12.0,999.9,27.0,19.0,0.0,5.9,0,7,2015-03-01,756
2015-03-02,2015,03,02,23.8,12.4,1032.1,10.0,6.6,12.0,999.9,34.0,16.0,0.01,5.1,0,1,2015-03-02,658
2015-03-03,2015,03,03,30.7,22.9,1018.9,6.5,10.6,15.0,22.9,37.0,16.0,0.04,3.9,0,2,2015-03-03,636
2015-03-04,2015,03,04,26.6,14.8,1017.7,10.0,10.4,15.0,21.0,37.0,19.9,0.06,3.9,0,3,2015-03-04,562
2015-03-05,2015,03,05,15.2,-2.2,1031.7,10.0,8.9,12.0,15.9,33.1,9.0,0.0,3.9,0,4,2015-03-05,613
2015-03-06,2015,03,06,14.7,3.4,1032.2,10.0,10.4,18.1,26.0,27.0,6.1,0.0,3.9,0,5,2015-03-06,712
2015-03-07,2015,03,07,34.1,23.6,1019.9,10.0,10.6,15.9,20.0,46.0,25.0,0.0,2.0,0,6,2015-03-07,697
2015-03-08,2015,03,08,37.1,28.2,1022.0,10.0,6.7,11.1,999.9,46.0,26.1,0.0,1.2,0,7,2015-03-08,625
2015-03-09,2015,03,09,40.0,27.1,1021.9,10.0,4.7,7.0,999.9,52.0,28.0,0.0,1.2,0,1,2015-03-09,726
2015-03-10,2015,03,10,43.9,38.1,1017.6,4.6,6.2,12.0,999.9,54.0,28.0,0.0,999.9,1,2,2015-03-10,753
2015-03-11,2015,03,11,44.7,34.4,1022.5,6.5,6.5,12.0,999.9,54.0,36.0,0.0,999.9,1,3,2015-03-11,746
2015-03-12,2015,03,12,44.9,27.7,1031.6,10.0,6.5,14.0,21.0,57.9,33.1,0.0,999.9,0,4,2015-03-12,751
2015-03-13,2015,03,13,50.6,31.5,1023.5,10.0,6.3,9.9,999.9,64.9,33.1,0.0,999.9,0,5,2015-03-13,814
2015-03-14,2015,03,14,52.5,38.6,1016.6,9.7,8.2,15.0,28.9,64.9,41.0,0.0,999.9,0,6,2015-03-14,798
2015-03-15,2015,03,15,47.6,33.3,1022.3,10.0,6.7,15.0,22.9,64.0,34.0,0.0,999.9,0,7,2015-03-15,778
2015-03-16,2015,03,16,61.3,39.0,1013.3,10.0,11.7,18.1,27.0,73.9,51.1,0.0,999.9,0,1,2015-03-16,779
2015-03-17,2015,03,17,44.1,25.4,1022.2,10.0,15.0,24.1,34.0,73.9,36.0,0.0,999.9,0,2,2015-03-17,692
2015-03-18,2015,03,18,38.8,14.2,1027.5,10.0,4.3,9.9,999.9,50.0,30.0,0.0,999.9,0,3,2015-03-18,689
2015-03-19,2015,03,19,44.4,16.9,1024.3,10.0,7.4,13.0,18.1,50.0,30.0,0.0,999.9,0,4,2015-03-19,717
2015-03-20,2015,03,20,44.0,33.1,1019.4,9.3,7.8,13.0,999.9,52.0,39.0,0.0,999.9,0,5,2015-03-20,775
2015-03-21,2015,03,21,43.0,34.9,1019.4,8.1,11.4,17.1,19.0,52.0,37.9,0.0,999.9,0,6,2015-03-21,689
2015-03-22,2015,03,22,34.8,22.1,1025.8,9.8,10.0,15.0,999.9,50.0,30.9,0.0,999.9,0,7,2015-03-22,656
2015-03-23,2015,03,23,31.4,25.2,1025.7,6.6,11.5,17.1,19.0,37.0,30.0,0.07,3.1,1,1,2015-03-23,592
2015-03-24,2015,03,24,32.4,21.6,1025.4,9.9,9.1,15.0,17.1,39.0,25.0,0.08,2.0,0,2,2015-03-24,639
2015-03-25,2015,03,25,40.7,34.3,1015.2,7.0,11.0,17.1,22.0,43.0,25.0,0.17,999.9,0,3,2015-03-25,723
2015-03-26,2015,03,26,39.7,28.4,1016.2,9.7,8.1,13.0,19.0,46.0,35.1,0.13,999.9,0,4,2015-03-26,684
2015-03-27,2015,03,27,30.8,16.8,1021.0,8.3,12.1,17.1,24.1,46.0,25.0,0.01,1.2,0,5,2015-03-27,725
2015-03-28,2015,03,28,29.2,10.7,1026.6,10.0,6.2,12.0,15.9,37.0,21.0,0.0,999.9,0,6,2015-03-28,657
2015-03-29,2015,03,29,34.9,19.8,1019.9,10.0,12.4,22.0,28.0,48.9,21.0,0.0,999.9,0,7,2015-03-29,619
2015-03-30,2015,03,30,49.1,31.0,1015.5,10.0,9.0,20.0,26.0,64.0,28.0,0.04,999.9,0,1,2015-03-30,719
2015-03-31,2015,03,31,50.1,35.7,1010.9,9.2,9.4,18.1,31.1,64.0,37.0,0.0,999.9,0,2,2015-03-31,693
2015-04-01,2015,04,01,55.9,36.2,1015.4,10.0,8.5,18.1,27.0,73.9,41.0,0.0,999.9,0,3,2015-04-01,927
2015-04-02,2015,04,02,60.6,43.2,1008.0,9.5,11.0,15.0,25.1,73.9,41.0,0.02,999.9,0,4,2015-04-02,794
2015-04-03,2015,04,03,52.0,31.8,1012.6,10.0,8.9,17.1,22.0,68.0,39.0,0.25,999.9,0,5,2015-04-03,710
2015-04-04,2015,04,04,42.9,24.1,1023.4,10.0,10.7,19.0,26.0,61.0,30.9,0.0,999.9,0,6,2015-04-04,694
2015-04-05,2015,04,05,56.3,23.8,1018.3,10.0,10.3,15.9,24.1,68.0,48.0,0.0,999.9,0,7,2015-04-05,673
2015-04-06,2015,04,06,55.0,33.2,1015.7,10.0,6.3,11.1,999.9,69.1,46.9,0.0,999.9,0,1,2015-04-06,676
2015-04-07,2015,04,07,43.6,39.0,1018.1,5.1,10.5,15.0,999.9,46.9,41.0,0.11,999.9,0,2,2015-04-07,603
2015-04-08,2015,04,08,47.2,44.2,1014.9,3.2,7.6,13.0,19.0,54.0,39.9,0.04,999.9,1,3,2015-04-08,679
2015-04-09,2015,04,09,54.6,51.3,1006.8,4.3,9.1,17.1,26.0,73.9,43.0,0.21,999.9,0,4,2015-04-09,648
2015-04-10,2015,04,10,54.5,41.6,1007.1,9.8,19.2,29.9,42.0,73.9,42.1,0.82,999.9,0,5,2015-04-10,714
2015-04-11,2015,04,11,50.5,33.7,1022.6,10.0,7.2,14.0,17.1,64.9,39.0,0.0,999.9,0,6,2015-04-11,720
2015-04-12,2015,04,12,58.8,32.1,1019.8,10.0,8.0,17.1,22.9,71.1,39.0,0.0,999.9,0,7,2015-04-12,773
2015-04-13,2015,04,13,63.3,40.4,1014.4,9.8,10.5,18.1,22.0,71.1,46.9,0.11,999.9,0,1,2015-04-13,735
2015-04-14,2015,04,14,58.2,24.9,1023.0,10.0,5.1,8.9,999.9,69.1,46.0,0.03,999.9,0,2,2015-04-14,767
2015-04-15,2015,04,15,56.0,26.8,1023.8,10.0,9.6,18.1,999.9,66.9,44.1,0.0,999.9,0,3,2015-04-15,798
2015-04-16,2015,04,16,54.8,37.9,1019.9,8.8,7.1,11.1,999.9,66.9,44.1,0.34,999.9,0,4,2015-04-16,686
2015-04-17,2015,04,17,62.4,45.9,1017.9,9.1,3.8,8.0,999.9,80.1,46.9,0.0,999.9,0,5,2015-04-17,785
2015-04-18,2015,04,18,62.3,43.8,1016.5,10.0,7.4,18.1,21.0,80.1,48.9,0.0,999.9,0,6,2015-04-18,769
2015-04-19,2015,04,19,57.5,38.3,1009.6,9.4,8.7,14.0,999.9,69.1,50.0,0.0,999.9,0,7,2015-04-19,703
2015-04-20,2015,04,20,50.8,44.9,995.1,7.0,14.1,22.0,32.1,69.1,46.9,0.42,999.9,0,1,2015-04-20,743
2015-04-21,2015,04,21,47.6,29.3,1003.5,10.0,16.2,27.0,38.1,57.9,41.0,0.0,999.9,0,2,2015-04-21,663
2015-04-22,2015,04,22,42.2,23.6,1008.5,9.9,12.7,19.0,28.0,46.9,37.0,0.0,999.9,0,3,2015-04-22,682
2015-04-23,2015,04,23,44.5,22.5,1015.5,10.0,7.9,15.0,28.0,55.9,34.0,0.0,999.9,0,4,2015-04-23,731
2015-04-24,2015,04,24,47.5,24.0,1017.4,10.0,4.3,14.0,999.9,60.1,34.0,0.0,999.9,0,5,2015-04-24,761
2015-04-25,2015,04,25,45.9,39.3,1010.2,8.8,13.1,21.0,28.0,60.1,35.1,0.29,999.9,0,6,2015-04-25,695
2015-04-26,2015,04,26,47.1,30.3,1014.4,10.0,10.7,18.1,22.9,57.0,39.0,0.34,999.9,0,7,2015-04-26,718
2015-04-27,2015,04,27,49.1,31.6,1018.9,10.0,11.9,18.1,24.1,57.0,39.0,0.0,999.9,0,1,2015-04-27,721
2015-04-28,2015,04,28,49.1,34.3,1020.1,10.0,5.4,12.0,18.1,60.1,37.9,0.0,999.9,0,2,2015-04-28,718
2015-04-29,2015,04,29,52.3,35.4,1014.4,10.0,5.2,14.0,999.9,64.0,37.9,0.0,999.9,0,3,2015-04-29,766
2015-04-30,2015,04,30,48.0,34.8,1014.5,10.0,12.1,20.0,24.1,64.0,42.1,0.0,999.9,0,4,2015-04-30,666
2015-05-01,2015,05,01,52.2,38.0,1020.4,10.0,5.5,9.9,14.0,64.9,39.9,0.0,999.9,0,5,2015-05-01,951
2015-05-02,2015,05,02,64.9,38.4,1017.6,10.0,5.8,12.0,17.1,79.0,39.9,0.0,999.9,0,6,2015-05-02,685
2015-05-03,2015,05,03,70.1,42.9,1013.9,10.0,8.5,20.0,27.0,82.0,53.1,0.0,999.9,0,7,2015-05-03,745
2015-05-04,2015,05,04,67.8,55.0,1015.8,10.0,8.4,14.0,24.1,82.0,60.1,0.2,999.9,0,1,2015-05-04,779
2015-05-05,2015,05,05,56.1,48.3,1022.4,5.8,7.2,13.0,18.1,73.9,52.0,0.78,999.9,0,2,2015-05-05,696
2015-05-06,2015,05,06,60.1,53.5,1021.2,3.6,5.4,9.9,999.9,82.0,51.1,0.01,999.9,1,3,2015-05-06,739
2015-05-07,2015,05,07,71.2,52.9,1016.3,9.9,7.8,19.0,28.0,87.1,51.1,0.0,999.9,0,4,2015-05-07,825
2015-05-08,2015,05,08,73.9,61.8,1013.1,9.9,7.8,20.0,27.0,87.1,57.0,0.0,999.9,0,5,2015-05-08,807
2015-05-09,2015,05,09,60.4,56.3,1016.4,6.3,7.2,15.9,999.9,68.0,51.8,0.59,999.9,0,6,2015-05-09,685
2015-05-10,2015,05,10,50.3,46.9,1017.2,5.7,7.7,9.9,999.9,66.9,46.9,0.18,999.9,0,7,2015-05-10,741
2015-05-11,2015,05,11,59.9,54.5,1012.2,8.7,9.4,21.0,28.9,71.1,46.9,0.05,999.9,0,1,2015-05-11,748
2015-05-12,2015,05,12,54.2,39.5,1016.4,10.0,15.3,22.0,31.1,71.1,50.0,0.14,999.9,0,2,2015-05-12,757
2015-05-13,2015,05,13,49.6,35.3,1029.5,10.0,9.3,14.0,18.1,57.9,45.0,0.0,999.9,0,3,2015-05-13,767
2015-05-14,2015,05,14,55.3,40.4,1026.8,10.0,8.7,13.0,19.0,69.1,45.0,0.0,999.9,0,4,2015-05-14,755
2015-05-15,2015,05,15,67.6,58.2,1015.2,9.7,9.8,15.0,21.0,79.0,46.0,0.16,999.9,0,5,2015-05-15,822
2015-05-16,2015,05,16,72.9,63.9,1014.8,10.0,6.0,12.0,999.9,82.0,60.1,0.03,999.9,0,6,2015-05-16,882
2015-05-17,2015,05,17,74.9,66.4,1013.1,8.3,11.3,20.0,29.9,84.0,66.9,0.0,999.9,0,7,2015-05-17,836
2015-05-18,2015,05,18,74.6,59.6,1014.1,10.0,12.9,20.0,28.0,84.0,66.9,0.0,999.9,0,1,2015-05-18,758
2015-05-19,2015,05,19,51.4,37.4,1021.9,10.0,10.5,17.1,25.1,63.0,48.0,0.0,999.9,0,2,2015-05-19,707
2015-05-20,2015,05,20,46.2,30.9,1023.8,10.0,9.1,14.0,19.0,54.0,43.0,0.0,999.9,0,3,2015-05-20,729
2015-05-21,2015,05,21,54.7,37.9,1019.1,10.0,7.3,14.0,20.0,70.0,43.0,0.02,999.9,0,4,2015-05-21,745
2015-05-22,2015,05,22,60.5,37.5,1020.5,10.0,7.5,14.0,999.9,70.0,46.9,0.0,999.9,0,5,2015-05-22,824
2015-05-23,2015,05,23,65.7,37.6,1025.2,10.0,6.7,11.1,19.0,82.9,50.0,0.0,999.9,0,6,2015-05-23,798
2015-05-24,2015,05,24,68.8,51.7,1019.6,9.7,5.4,8.9,999.9,82.9,53.1,0.01,999.9,0,7,2015-05-24,687
2015-05-25,2015,05,25,74.3,63.4,1011.5,9.8,12.8,21.0,27.0,81.0,62.1,0.43,999.9,0,1,2015-05-25,708
2015-05-26,2015,05,26,73.3,64.3,1011.1,9.4,10.9,22.0,39.0,81.0,68.0,0.06,999.9,0,2,2015-05-26,770
2015-05-27,2015,05,27,70.9,60.2,1012.5,9.8,11.7,21.0,26.0,77.0,66.9,0.42,999.9,0,3,2015-05-27,737
2015-05-28,2015,05,28,72.0,55.7,1020.3,10.0,5.3,13.0,18.1,84.0,60.1,0.06,999.9,0,4,2015-05-28,800
2015-05-29,2015,05,29,75.7,62.5,1015.3,9.6,8.7,14.0,21.0,84.0,60.1,0.0,999.9,0,5,2015-05-29,828
2015-05-30,2015,05,30,66.0,60.4,1014.3,7.7,10.3,21.0,29.9,84.0,48.9,0.23,999.9,0,6,2015-05-30,719
2015-05-31,2015,05,31,48.7,42.8,1021.0,6.4,15.6,20.0,28.0,55.9,44.1,0.77,999.9,0,7,2015-05-31,666
2015-06-01,2015,06,01,53.5,42.4,1023.3,10.0,9.2,14.0,999.9,62.1,44.1,0.02,999.9,0,1,2015-06-01,954
2015-06-02,2015,06,02,58.0,42.8,1021.6,10.0,4.6,11.1,15.0,71.1,45.0,0.0,999.9,0,2,2015-06-02,772
2015-06-03,2015,06,03,65.3,50.1,1017.4,10.0,6.0,9.9,17.1,79.0,45.0,0.0,999.9,0,3,2015-06-03,777
2015-06-04,2015,06,04,71.0,58.0,1015.1,10.0,7.2,11.1,999.9,82.0,55.0,0.0,999.9,0,4,2015-06-04,721
2015-06-05,2015,06,05,66.8,57.6,1016.9,9.3,11.0,21.0,27.0,82.0,59.0,0.0,999.9,0,5,2015-06-05,786
2015-06-06,2015,06,06,62.4,51.4,1020.0,9.9,9.6,14.0,19.0,73.0,54.0,0.0,999.9,0,6,2015-06-06,758
2015-06-07,2015,06,07,68.2,59.9,1010.4,9.3,9.3,15.0,26.0,82.9,54.0,0.0,999.9,0,7,2015-06-07,739
2015-06-08,2015,06,08,74.9,64.3,1004.7,9.7,11.3,17.1,26.0,86.0,60.1,0.44,999.9,0,1,2015-06-08,681
2015-06-09,2015,06,09,72.0,57.5,1008.1,9.7,5.9,12.0,15.0,87.1,61.0,0.1,999.9,0,2,2015-06-09,730
2015-06-10,2015,06,10,81.7,64.6,1005.2,10.0,11.5,18.1,27.0,93.9,61.0,0.08,999.9,0,3,2015-06-10,793
2015-06-11,2015,06,11,72.1,60.1,1009.4,9.7,6.2,11.1,999.9,77.0,66.0,0.01,999.9,0,4,2015-06-11,802
2015-06-12,2015,06,12,65.9,63.2,1009.2,4.1,6.1,15.9,22.9,79.0,59.0,0.28,999.9,0,5,2015-06-12,827
2015-06-13,2015,06,13,69.7,62.8,1012.9,6.4,5.8,15.0,18.1,87.1,57.2,0.09,999.9,1,6,2015-06-13,813
2015-06-14,2015,06,14,75.9,69.9,1012.0,8.5,7.2,14.0,20.0,88.0,57.9,1.44,999.9,0,7,2015-06-14,794
2015-06-15,2015,06,15,76.4,71.8,1012.5,9.0,6.7,21.0,999.9,84.9,70.0,1.54,999.9,1,1,2015-06-15,739
2015-06-16,2015,06,16,70.4,60.2,1018.7,8.6,8.5,15.9,21.0,82.9,66.0,1.75,999.9,0,2,2015-06-16,847
2015-06-17,2015,06,17,63.5,52.5,1017.5,8.7,4.0,9.9,999.9,72.0,57.9,0.0,999.9,0,3,2015-06-17,722
2015-06-18,2015,06,18,74.5,67.1,1013.2,7.1,7.8,22.0,28.9,82.0,57.9,0.33,999.9,1,4,2015-06-18,768
2015-06-19,2015,06,19,63.1,53.5,1017.3,10.0,10.7,15.9,999.9,82.0,57.0,0.48,999.9,0,5,2015-06-19,775
2015-06-20,2015,06,20,67.4,57.1,1011.5,10.0,5.9,14.0,19.0,82.0,57.0,0.0,999.9,0,6,2015-06-20,766
2015-06-21,2015,06,21,76.8,66.6,1010.6,9.7,7.8,17.1,24.1,87.1,57.0,0.22,999.9,0,7,2015-06-21,783
2015-06-22,2015,06,22,78.3,71.4,1011.2,9.9,8.7,19.0,27.0,87.1,70.0,0.0,999.9,0,1,2015-06-22,780
2015-06-23,2015,06,23,77.2,61.9,1013.3,10.0,9.0,17.1,22.9,84.9,70.0,0.04,999.9,0,2,2015-06-23,732
2015-06-24,2015,06,24,72.3,57.4,1019.1,10.0,5.0,9.9,15.9,81.0,66.0,0.0,999.9,0,3,2015-06-24,728
2015-06-25,2015,06,25,73.4,65.2,1014.5,9.0,6.7,11.1,999.9,82.9,66.0,0.0,999.9,0,4,2015-06-25,784
2015-06-26,2015,06,26,66.3,61.6,1014.6,6.8,7.9,12.0,999.9,82.9,63.0,0.02,999.9,0,5,2015-06-26,784
2015-06-27,2015,06,27,66.5,54.0,1014.4,9.7,9.2,14.0,20.0,77.0,59.0,0.7,999.9,0,6,2015-06-27,723
2015-06-28,2015,06,28,70.0,51.7,1012.1,10.0,5.0,14.0,25.1,81.0,57.9,0.0,999.9,0,7,2015-06-28,797
2015-06-29,2015,06,29,70.6,63.0,1008.6,9.3,4.4,8.0,999.9,81.0,57.9,0.02,999.9,0,1,2015-06-29,751
2015-06-30,2015,06,30,70.7,62.3,1008.4,8.5,6.6,15.0,999.9,80.1,64.9,0.06,999.9,0,2,2015-06-30,748
2015-07-01,2015,07,01,62.6,53.7,1013.3,10.0,7.7,11.1,999.9,80.1,59.0,0.0,999.9,0,3,2015-07-01,888
2015-07-02,2015,07,02,62.8,54.0,1015.1,9.9,9.3,14.0,999.9,70.0,55.4,0.0,999.9,0,4,2015-07-02,757
2015-07-03,2015,07,03,68.0,54.0,1014.1,10.0,6.3,11.1,999.9,77.0,55.9,0.0,999.9,0,5,2015-07-03,768
2015-07-04,2015,07,04,72.2,56.2,1014.1,9.9,3.1,8.0,999.9,84.0,61.0,0.0,999.9,0,6,2015-07-04,845
2015-07-05,2015,07,05,76.0,59.6,1016.6,8.0,3.5,8.9,999.9,84.9,62.1,0.0,999.9,0,7,2015-07-05,898
2015-07-06,2015,07,06,78.4,65.7,1013.7,9.2,8.5,15.9,22.9,88.0,64.9,0.0,999.9,0,1,2015-07-06,757
2015-07-07,2015,07,07,69.0,57.5,1013.5,8.3,12.3,21.0,27.0,88.0,59.0,0.76,999.9,0,2,2015-07-07,701
2015-07-08,2015,07,08,62.5,50.6,1018.4,10.0,7.2,11.1,999.9,73.9,59.0,0.05,999.9,0,3,2015-07-08,718
2015-07-09,2015,07,09,66.3,57.4,1014.2,5.9,7.2,11.1,999.9,73.9,59.0,0.04,999.9,0,4,2015-07-09,671
2015-07-10,2015,07,10,71.5,57.0,1018.1,9.0,4.3,8.0,999.9,82.0,61.0,0.0,999.9,0,5,2015-07-10,739
2015-07-11,2015,07,11,73.7,57.2,1019.1,10.0,3.7,8.9,999.9,82.0,63.0,0.0,999.9,0,6,2015-07-11,798
